Reconocimiento total de tokens:
[OK] PROGRAM              lexema='program' (lin. 001, col. 001)
[OK] ID                   lexema='testCase1' (lin. 001, col. 010)
[OK] FIN_SENTENCIA        lexema=';' (lin. 001, col. 019)
[OK] VAR                  lexema='var' (lin. 003, col. 001)
[OK] ID                   lexema='a' (lin. 004, col. 003)
[OK] SEPARADOR            lexema=',' (lin. 004, col. 004)
[OK] ID                   lexema='b' (lin. 004, col. 006)
[OK] DECLARACION_TIPO     lexema=':' (lin. 004, col. 007)
[OK] INTEGER              lexema='integer' (lin. 004, col. 009)
[OK] FIN_SENTENCIA        lexema=';' (lin. 004, col. 016)
[OK] PROCEDURE            lexema='procedure' (lin. 008, col. 001)
[OK] ID                   lexema='p1' (lin. 008, col. 011)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 008, col. 014)
[OK] ID                   lexema='a' (lin. 008, col. 015)
[OK] SEPARADOR            lexema=',' (lin. 008, col. 016)
[OK] ID                   lexema='b' (lin. 008, col. 017)
[OK] DECLARACION_TIPO     lexema=':' (lin. 008, col. 018)
[OK] INTEGER              lexema='integer' (lin. 008, col. 019)
[OK] PARENTESIS_DER       lexema=')' (lin. 008, col. 026)
[OK] FIN_SENTENCIA        lexema=';' (lin. 008, col. 027)
[OK] VAR                  lexema='var' (lin. 009, col. 001)
[OK] ID                   lexema='p1a' (lin. 009, col. 005)
[OK] DECLARACION_TIPO     lexema=':' (lin. 009, col. 009)
[OK] INTEGER              lexema='integer' (lin. 009, col. 011)
[OK] FIN_SENTENCIA        lexema=';' (lin. 009, col. 019)
[OK] FUNCTION             lexema='function' (lin. 010, col. 001)
[OK] ID                   lexema='f1' (lin. 010, col. 010)
[OK] PARENTESIS_IZQ       lexema='(' (lin. 010, col. 013)
[OK] ID                   lexema='a' (lin. 010, col. 014)
[OK] SEPARADOR            lexema=',' (lin. 010, col. 015)
[OK] ID                   lexema='b' (lin. 010, col. 016)
[OK] DECLARACION_TIPO     lexema=':' (lin. 010, col. 017)
[OK] INTEGER              lexema='integer' (lin. 010, col. 018)
[OK] PARENTESIS_DER       lexema=')' (lin. 010, col. 025)
[OK] DECLARACION_TIPO     lexema=':' (lin. 010, col. 026)
[OK] INTEGER              lexema='integer' (lin. 010, col. 027)
[OK] FIN_SENTENCIA        lexema=';' (lin. 010, col. 034)
[OK] VAR                  lexema='var' (lin. 011, col. 001)
[OK] ID                   lexema='p1a' (lin. 011, col. 005)
[OK] DECLARACION_TIPO     lexema=':' (lin. 011, col. 009)
[OK] INTEGER              lexema='integer' (lin. 011, col. 011)
[OK] FIN_SENTENCIA        lexema=';' (lin. 011, col. 019)
[OK] BEGIN                lexema='begin' (lin. 012, col. 001)
[OK] ID                   lexema='a' (lin. 013, col. 004)
[OK] ASIGNACION           lexema=':=' (lin. 013, col. 005)
[OK] NUMERO               lexema='3' (lin. 013, col. 008)
[OK] DIVISION_ENTERA      lexema='div' (lin. 013, col. 010)
[OK] NUMERO               lexema='5' (lin. 013, col. 014)
[OK] END                  lexema='end' (lin. 014, col. 001)
[OK] FIN_SENTENCIA        lexema=';' (lin. 014, col. 005)
